siteID,year,annualMean_height
ABBY,2015,1.5529661016949152
ABBY,2016,3.3004024144869217
ABBY,2017,4.272983050847458
ABBY,2018,4.016990291262136
ABBY,2019,4.2784801136363635
DSNY,2014,2.17
DSNY,2018,1.8084315503173165
HARV,2014,6.28854961832061
HARV,2015,8.507464857004363
HARV,2016,8.92286562731997
HARV,2017,9.132182163187856
HARV,2018,9.573947463116228
HARV,2019,7.670872142252328
HARV,2020,9.82582983594048
JERC,2015,2.835200553250346
JERC,2016,2.8639586919104993
JERC,2018,2.4346624266144814
JERC,2019,3.362667860340197
JERC,2020,3.5502970297029703
MLBS,2015,4.860747663551402
MLBS,2017,8.840489296636086
MLBS,2018,9.229137691237831
MLBS,2019,8.486596736596736
ONAQ,2016,0.7546098255347106
ONAQ,2017,0.730095670504297
ONAQ,2019,0.7395680819912153
SCBI,2015,6.421897374701671
SCBI,2016,6.0512195121951216
SCBI,2017,5.920417936438834
SCBI,2018,5.19777020749458
SCBI,2019,7.090356394129979
SCBI,2020,6.162272993555946
UNDE,2016,9.050400855157669
UNDE,2017,9.665868263473055
UNDE,2018,10.207290640394088
UNDE,2019,9.266464339908953
UNDE,2020,7.2501690331304935
